src/components/Profile/ProfileUI.tsx(16,37): error TS7031: Binding element 'children' implicitly has an 'any' type.
src/components/Profile/ProfileUI.tsx(26,28): error TS7031: Binding element 'label' implicitly has an 'any' type.
src/components/Profile/ProfileUI.tsx(26,35): error TS7031: Binding element 'value' implicitly has an 'any' type.
src/pages/Admin/Admin.tsx(3,37): error TS2307: Cannot find module '../../../components/UI/index' or its corresponding type declarations.
src/pages/Admin/AdminPanel.tsx(3,21): error TS2307: Cannot find module '../../../services/api' or its corresponding type declarations.
src/pages/Admin/AdminPanel.tsx(4,23): error TS2307: Cannot find module '../../../utils/helpers' or its corresponding type declarations.
src/pages/Admin/AdminPanel.tsx(5,79): error TS2307: Cannot find module '../../../components/UI/index' or its corresponding type declarations.
src/pages/Admin/AdminPanel.tsx(6,19): error TS2307: Cannot find module '../../../components/UI/Modal' or its corresponding type declarations.
src/pages/Admin/useAdmin.ts(2,21): error TS2307: Cannot find module '../../../services/api' or its corresponding type declarations.
src/pages/Admin/useAdmin.ts(3,23): error TS2307: Cannot find module '../../../utils/helpers' or its corresponding type declarations.
src/pages/Auth/ForgotPassword/ForgotPassword.tsx(23,14): error TS2560: Value of type '(active: boolean, done: boolean) => CSSProperties' has no properties in common with type 'Properties<string | number, string & {}>'. Did you mean to call it?
src/pages/Auth/ForgotPassword/ForgotPassword.tsx(61,27): error TS2349: This expression is not callable.
  Type 'CSSProperties' has no call signatures.
src/pages/Auth/ForgotPassword/ForgotPassword.tsx(62,27): error TS2349: This expression is not callable.
  Type 'CSSProperties' has no call signatures.
src/pages/Auth/ForgotPassword/ForgotPassword.tsx(63,27): error TS2349: This expression is not callable.
  Type 'CSSProperties' has no call signatures.
src/pages/Auth/ForgotPassword/useForgotPassword.ts(2,21): error TS2307: Cannot find module '../../../../services/api' or its corresponding type declarations.
src/pages/Auth/ForgotPassword/useForgotPassword.ts(3,23): error TS2307: Cannot find module '../../../../utils/helpers' or its corresponding type declarations.
src/pages/Auth/Login/useLogin.ts(2,21): error TS2307: Cannot find module '../../../../services/api' or its corresponding type declarations.
src/pages/Auth/Login/useLogin.ts(3,23): error TS2307: Cannot find module '../../../../utils/helpers' or its corresponding type declarations.
src/pages/Auth/Login/useLogin.ts(5,26): error TS7006: Parameter 'onLogin' implicitly has an 'any' type.
src/pages/Auth/Login/useLogin.ts(10,16): error TS7006: Parameter 'k' implicitly has an 'any' type.
src/pages/Auth/Login/useLogin.ts(10,23): error TS7006: Parameter 'e' implicitly has an 'any' type.
src/pages/Auth/Login/useLogin.ts(12,31): error TS7006: Parameter 'e' implicitly has an 'any' type.
src/pages/Auth/Register/Register.tsx(41,14): error TS2560: Value of type '(active: boolean) => CSSProperties' has no properties in common with type 'Properties<string | number, string & {}>'. Did you mean to call it?
src/pages/Auth/Register/Register.tsx(73,27): error TS2349: This expression is not callable.
  Type 'CSSProperties' has no call signatures.
src/pages/Auth/Register/Register.tsx(74,27): error TS2349: This expression is not callable.
  Type 'CSSProperties' has no call signatures.
src/pages/Auth/Register/RegisterForm.tsx(3,23): error TS2307: Cannot find module '../../../../utils/helpers' or its corresponding type declarations.
src/pages/Auth/Register/RegisterForm.tsx(135,13): error TS2322: Type '(el: HTMLInputElement | null) => HTMLInputElement | null' is not assignable to type 'Ref<HTMLInputElement> | undefined'.
  Type '(el: HTMLInputElement | null) => HTMLInputElement | null' is not assignable to type '(instance: HTMLInputElement | null) => void | (() => VoidOrUndefinedOnly)'.
    Type 'HTMLInputElement | null' is not assignable to type 'void | (() => VoidOrUndefinedOnly)'.
      Type 'null' is not assignable to type 'void | (() => VoidOrUndefinedOnly)'.
src/pages/Auth/Register/useRegister.ts(2,21): error TS2307: Cannot find module '../../../../services/api' or its corresponding type declarations.
src/pages/Auth/Register/useRegister.ts(3,23): error TS2307: Cannot find module '../../../../utils/helpers' or its corresponding type declarations.
src/pages/Dashboard/Dashboard.tsx(3,25): error TS2307: Cannot find module '../../../components/UI/index' or its corresponding type declarations.
src/pages/Dashboard/Dashboard.tsx(4,29): error TS2307: Cannot find module '../../../utils/user' or its corresponding type declarations.
src/pages/Dashboard/DashboardChart.tsx(3,22): error TS2307: Cannot find module '../../../components/UI/index' or its corresponding type declarations.
src/pages/Dashboard/DashboardChart.tsx(4,32): error TS2307: Cannot find module '../../../utils/helpers' or its corresponding type declarations.
src/pages/Dashboard/DashboardStats.tsx(3,26): error TS2307: Cannot find module '../../../components/UI/index' or its corresponding type declarations.
src/pages/Dashboard/DashboardStats.tsx(4,32): error TS2307: Cannot find module '../../../utils/helpers' or its corresponding type declarations.
src/pages/Dashboard/useDashboard.ts(2,21): error TS2307: Cannot find module '../../../services/api' or its corresponding type declarations.
src/pages/Dashboard/useDashboard.ts(3,37): error TS2307: Cannot find module '../../../utils/helpers' or its corresponding type declarations.
src/pages/Dashboard/useDashboard.ts(4,48): error TS2307: Cannot find module '../../../utils/user' or its corresponding type declarations.
src/pages/Department/DepartmentModal.tsx(3,21): error TS2307: Cannot find module '../../../services/api' or its corresponding type declarations.
src/pages/Department/DepartmentModal.tsx(4,23): error TS2307: Cannot find module '../../../utils/helpers' or its corresponding type declarations.
src/pages/Department/DepartmentModal.tsx(5,49): error TS2307: Cannot find module '../../../components/UI/index' or its corresponding type declarations.
src/pages/Department/DepartmentModal.tsx(6,19): error TS2307: Cannot find module '../../../components/UI/Modal' or its corresponding type declarations.
src/pages/Department/Departments.tsx(3,68): error TS2307: Cannot find module '../../../components/UI/index' or its corresponding type declarations.
src/pages/Department/useDepartments.ts(2,21): error TS2307: Cannot find module '../../../services/api' or its corresponding type declarations.
src/pages/Department/useDepartments.ts(3,23): error TS2307: Cannot find module '../../../utils/helpers' or its corresponding type declarations.
src/pages/Department/useDepartments.ts(4,25): error TS2307: Cannot find module '../../../utils/user' or its corresponding type declarations.
src/pages/Employee/EmployeeDetails/EmployeeDetails.tsx(2,40): error TS2307: Cannot find module '../../../../components/UI/index' or its corresponding type declarations.
src/pages/Employee/EmployeeDetails/EmployeeDetails.tsx(3,19): error TS2307: Cannot find module '../../../../components/UI/Modal' or its corresponding type declarations.
src/pages/Employee/EmployeeDetails/EmployeeDetails.tsx(4,21): error TS2307: Cannot find module '../../../../components/UI/index' or its corresponding type declarations.
src/pages/Employee/EmployeeDetails/EmployeeDetails.tsx(5,28): error TS2307: Cannot find module '../../../../utils/helpers' or its corresponding type declarations.
